Field,Phases,Valid Polygon,Coordinates
1,Fluid (2)Fsp Ilm Grt Bt Crd And Qz Gr,Yes,636.26953125 2000, 640 2059.5703125, 650 2221.6796875, 650 2272.4609375, 640 2104.4921875, 633.53515625 2000, 636.26953125 2000
2,Fluid Fsp Ilm Chl WM Bt Czo Qz Gr,Yes,450 4467.7734375, 450.87890625 4500, 460 4850.5859375, 463.92578125 5000, 465 5041.9921875, 467.16796875 5125, 467.5 5137.6953125, 468.75 5184.5703125, 468.80859375 5187.5, 469.375 5209.9609375, 469.62890625 5218.75, 469.58984375 5234.375, 469.55078125 5250, 468.30078125 5500, 465.25390625 6000, 461.50390625 6500, 460 6670.8984375, 456.81640625 7000, 451.03515625 7500, 450 7577.1484375, 450 4467.7734375
3,Fluid Fsp Ilm Chl WM Bt Qz Gr,Yes,496.07421875 2000, 500 2403.3203125, 500.76171875 2500, 502.36328125 2750, 503.57421875 3000, 504.35546875 3250, 504.70703125 3500, 504.58984375 3750, 504.00390625 4000, 502.83203125 4250, 500.87890625 4500, 500 4584.9609375, 497.83203125 4750, 495 4905.2734375, 492.67578125 5000, 490 5083.0078125, 485 5182.6171875, 480 5231.4453125, 475 5241.2109375, 470 5223.6328125, 469.6875 5219.7265625, 469.62890625 5218.75, 469.375 5209.9609375, 468.80859375 5187.5, 468.75 5184.5703125, 467.5 5137.6953125, 467.16796875 5125, 465 5041.9921875, 463.92578125 5000, 460 4850.5859375, 450.87890625 4500, 450 4467.7734375, 450 2000, 496.07421875 2000
4,Fluid Fsp Ilm Grt (2)WM Bt Czo Qz Gr,No,500.13671875 7578.125, 500.09765625 7593.75, 500.01953125 7625, 500 7627.9296875, 499.55078125 7750, 498.30078125 8000, 494.39453125 8500, 493.76953125 8562.5, 493.75 8565.4296875, 493.45703125 8593.75, 493.125 8624.0234375, 493.06640625 8609.375, 493.06640625 8593.75, 493.06640625 8562.5, 492.98828125 8500, 492.32421875 8000, 491.73828125 7750, 491.34765625 7625, 491.25 7588.8671875, 491.15234375 7562.5, 491.11328125 7546.875, 492.5 7536.1328125, 495 7545.8984375, 500 7575.1953125, 491.5625 7534.1796875, 491.25 7532.2265625, 500.13671875 7578.125
5,Fluid Fsp Ilm Grt (2)WM Bt Qz Gr,Yes,559.98046875 5859.375, 560 5860.3515625, 560.83984375 6000, 564.00390625 6500, 567.48046875 7000, 570 7344.7265625, 574.94140625 8000, 582.44140625 9000, 589.55078125 10000, 590 10065.4296875, 595.99609375 11000, 598.96484375 11500, 599.66796875 11625, 599.86328125 11656.25, 599.74609375 11671.875, 599.6875 11676.7578125, 599.55078125 11687.5, 598.76953125 11750, 597.5 11846.6796875, 597.12890625 11875, 596.30859375 11937.5, 596.25 11940.4296875, 595.87890625 11968.75, 595.625 11987.3046875, 559.98046875 5859.375
6,Fluid Fsp Ilm Grt (2)WM Bt Qz Gr,Yes,522.28515625 12000, 520 11852.5390625, 519.39453125 11812.5, 518.75 11770.5078125, 518.69140625 11765.625, 518.22265625 11734.375, 518.125 11729.4921875, 517.98828125 11718.75, 517.51953125 11687.5, 517.5 11686.5234375, 516.58203125 11625, 515 11516.6015625, 514.74609375 11500, 510 11166.9921875, 509.39453125 11125, 509.375 11122.0703125, 508.96484375 11093.75, 508.76953125 11078.125, 508.75 11075.1953125, 508.69140625 11062.5, 508.37890625 11000, 502.75390625 10000, 500 9569.3359375, 499.51171875 9500, 495.99609375 9000, 495 8870.1171875, 494.08203125 8750, 493.75 8708.0078125, 493.57421875 8687.5, 493.33984375 8656.25, 493.125 8629.8828125, 493.125 8624.0234375, 493.45703125 8593.75, 493.75 8565.4296875, 493.76953125 8562.5, 494.39453125 8500, 498.30078125 8000, 499.55078125 7750, 500 7627.9296875, 500.01953125 7625, 500.09765625 7593.75, 500.13671875 7578.125, 500.3125 7577.1484375, 500.625 7575.1953125, 501.25 7571.2890625, 502.5 7563.4765625, 505 7547.8515625, 510 7512.6953125, 511.69921875 7500, 520 7418.9453125, 530 7272.4609375, 531.15234375 7250, 535 7166.9921875, 540 7036.1328125, 541.15234375 7000, 545 6864.2578125, 547.75390625 6750, 550 6639.6484375, 552.48046875 6500, 555 6329.1015625, 556.03515625 6250, 558.65234375 6000, 559.70703125 5875, 559.82421875 5859.375, 522.28515625 12000
7,Fluid Fsp Ilm Grt (2)WM Bt Qz Rt Gr,Yes,518.69140625 11765.625, 518.75 11770.5078125, 519.39453125 11812.5, 520 11852.5390625, 522.28515625 12000, 600.01953125 12000, 600 11881.8359375, 599.98046875 11875, 599.94140625 11750, 599.90234375 11687.5, 599.90234375 11671.875, 599.74609375 11671.875, 599.6875 11676.7578125, 599.55078125 11687.5, 598.76953125 11750, 597.5 11846.6796875, 597.12890625 11875, 596.30859375 11937.5, 596.25 11940.4296875, 595.87890625 11968.75, 595.625 11987.3046875, 518.69140625 11765.625
8,Fluid Fsp Ilm Grt (2)WM Bt Qz Rt Gr,Yes,515.72265625 12000, 515 11895.5078125, 513.96484375 11750, 512.12890625 11500, 510 11229.4921875, 509.16015625 11125, 508.88671875 11093.75, 508.96484375 11093.75, 509.375 11122.0703125, 509.39453125 11125, 510 11166.9921875, 514.74609375 11500, 515 11516.6015625, 516.58203125 11625, 517.5 11686.5234375, 517.51953125 11687.5, 517.98828125 11718.75, 518.125 11729.4921875, 518.22265625 11734.375, 515.72265625 12000
9,Fluid Fsp Ilm Grt Bt Crd And Qz Gr,Yes,633.53515625 2000, 640 2104.4921875, 650 2272.4609375, 650 2407.2265625, 640 2311.5234375, 630 2217.7734375, 610 2026.3671875, 607.24609375 2000, 633.53515625 2000
10,Fluid Fsp Ilm Grt Bt St And Qz Gr,Yes,523.49609375 2296.875, 523.75 2303.7109375, 524.04296875 2312.5, 525 2338.8671875, 530 2475.5859375, 548.65234375 3000, 550 3038.0859375, 560 3327.1484375, 565.91796875 3500, 567.5 3545.8984375, 568.02734375 3562.5, 568.75 3583.0078125, 568.75 3584.9609375, 567.83203125 3562.5, 567.5 3555.6640625, 565.17578125 3500, 560 3377.9296875, 550 3139.6484375, 544.12109375 3000, 530 2661.1328125, 523.37890625 2500, 522.5 2477.5390625, 520 2416.9921875, 519.6875 2409.1796875, 519.55078125 2406.25, 519.375 2401.3671875, 518.75 2387.6953125, 518.26171875 2375, 518.125 2372.0703125, 518.125 2366.2109375, 518.75 2358.3984375, 520 2342.7734375, 522.5 2309.5703125, 523.125 2301.7578125, 523.41796875 2296.875, 523.49609375 2296.875
11,Fluid Fsp Ilm Grt Bt And Qz Gr,Yes,650 2936.5234375, 645.52734375 3000, 630 3225.5859375, 610 3518.5546875, 590 3815.4296875, 587.5 3852.5390625, 587.1875 3858.3984375, 587.08984375 3859.375, 586.66015625 3859.375, 586.5625 3858.3984375, 586.25 3852.5390625, 585 3834.9609375, 582.5 3797.8515625, 580 3760.7421875, 579.31640625 3750, 575 3684.5703125, 570 3604.4921875, 569.375 3594.7265625, 569.27734375 3593.75, 568.75 3583.0078125, 568.02734375 3562.5, 567.5 3545.8984375, 565.91796875 3500, 560 3327.1484375, 550 3038.0859375, 548.65234375 3000, 530 2475.5859375, 525 2338.8671875, 524.04296875 2312.5, 523.75 2303.7109375, 523.49609375 2296.875, 523.4375 2293.9453125, 523.26171875 2281.25, 523.125 2270.5078125, 522.83203125 2250, 520 2053.7109375, 519.16015625 2000, 607.24609375 2000, 610 2026.3671875, 630 2217.7734375, 640 2311.5234375, 650 2407.2265625, 650 2936.5234375
12,Fluid Fsp Ilm Grt Chl (2)WM Bt Czo Qz Gr,Yes,450 7868.1640625, 460 7700.1953125, 465 7637.6953125, 466.26953125 7625, 466.5625 7622.0703125, 466.5625 7620.1171875, 466.25 7624.0234375, 466.11328125 7625, 465 7635.7421875, 460 7696.2890625, 450 7858.3984375, 450 7868.1640625
13,Fluid Fsp Ilm Grt Chl (2)WM Bt Qz Gr,Yes,559.82421875 5859.375, 559.70703125 5875, 558.65234375 6000, 556.03515625 6250, 555 6329.1015625, 552.48046875 6500, 550 6639.6484375, 547.75390625 6750, 545 6864.2578125, 541.15234375 7000, 540 7036.1328125, 535 7166.9921875, 531.15234375 7250, 530 7272.4609375, 520 7418.9453125, 511.69921875 7500, 510 7512.6953125, 505 7547.8515625, 502.5 7563.4765625, 501.25 7571.2890625, 500.625 7575.1953125, 500.3125 7577.1484375, 500 7575.1953125, 495 7545.8984375, 492.5 7536.1328125, 492.12890625 7531.25, 492.5 7528.3203125, 495 7504.8828125, 495.41015625 7500, 500 7452.1484375, 510 7325.1953125, 520 7153.3203125, 526.85546875 7000, 530 6918.9453125, 540 6614.2578125, 543.26171875 6500, 550 6249.0234375, 555 6051.7578125, 556.26953125 6000, 557.5 5948.2421875, 559.27734375 5875, 559.375 5870.1171875, 559.62890625 5859.375, 559.6875 5856.4453125, 559.82421875 5859.375
14,Fluid Fsp Ilm Grt Chl Bt St And Qz Gr,Yes,518.125 2366.2109375, 518.75 2358.3984375, 520 2342.7734375, 522.5 2309.5703125, 523.125 2301.7578125, 523.41796875 2296.875, 523.125 2295.8984375, 522.5 2295.8984375, 520 2297.8515625, 518.75 2299.8046875, 517.5 2303.7109375, 516.25 2307.6171875, 516.25 2309.5703125, 516.34765625 2312.5, 517.5 2352.5390625, 517.71484375 2359.375, 517.8125 2362.3046875, 518.125 2366.2109375
15,Fluid Fsp Ilm Grt Chl Bt And Qz Gr,Yes,516.25 2307.6171875, 517.5 2303.7109375, 518.75 2299.8046875, 520 2297.8515625, 522.5 2295.8984375, 523.125 2295.8984375, 523.4375 2293.9453125, 523.26171875 2281.25, 523.125 2270.5078125, 522.83203125 2250, 520 2053.7109375, 519.16015625 2000, 508.26171875 2000, 510 2067.3828125, 511.50390625 2125, 511.875 2137.6953125, 512.32421875 2156.25, 512.5 2163.0859375, 514.74609375 2250, 515 2260.7421875, 515.52734375 2281.25, 515.625 2286.1328125, 515.91796875 2296.875, 515.9375 2297.8515625, 516.25 2307.6171875
16,Fluid Fsp Ilm Grt Chl WM Bt St And Qz Gr,Yes,511.875 2180.6640625, 512.08984375 2187.5, 512.5 2200.1953125, 514.23828125 2250, 515 2272.4609375, 515.29296875 2281.25, 515.625 2290.0390625, 515.83984375 2296.875, 515.9375 2299.8046875, 516.25 2309.5703125, 516.34765625 2312.5, 517.5 2352.5390625, 517.71484375 2359.375, 517.8125 2362.3046875, 518.125 2374.0234375, 518.18359375 2375, 518.75 2395.5078125, 519.04296875 2406.25, 519.0625 2407.2265625, 519.0625 2409.1796875, 519.00390625 2406.25, 518.75 2399.4140625, 518.02734375 2375, 517.8125 2368.1640625, 517.51953125 2359.375, 517.5 2358.3984375, 516.25 2319.3359375, 516.03515625 2312.5, 515.9375 2309.5703125, 515.625 2299.8046875, 515.05859375 2281.25, 515 2280.2734375, 514.04296875 2250, 512.5 2202.1484375, 512.01171875 2187.5, 511.875 2182.6171875, 511.875 2180.6640625
17,Fluid Fsp Ilm Grt Chl WM Bt St Qz Gr,Yes,511.875 2182.6171875, 512.01171875 2187.5, 512.5 2202.1484375, 514.04296875 2250, 515 2280.2734375, 515.05859375 2281.25, 515.625 2299.8046875, 515.9375 2309.5703125, 516.03515625 2312.5, 516.25 2319.3359375, 517.5 2358.3984375, 517.51953125 2359.375, 517.8125 2368.1640625, 518.02734375 2375, 518.75 2399.4140625, 519.00390625 2406.25, 519.0625 2409.1796875, 519.375 2418.9453125, 519.47265625 2421.875, 519.6875 2432.6171875, 519.78515625 2437.5, 520 2448.2421875, 520.95703125 2500, 529.94140625 3000, 530 3002.9296875, 538.18359375 3500, 540 3614.2578125, 546.07421875 4000, 550 4247.0703125, 554.19921875 4500, 555 4547.8515625, 556.34765625 4625, 557.5 4692.3828125, 557.94921875 4718.75, 558.125 4727.5390625, 558.22265625 4734.375, 558.4375 4745.1171875, 558.4375 4747.0703125, 558.18359375 4734.375, 558.125 4729.4921875, 557.91015625 4718.75, 557.5 4696.2890625, 556.15234375 4625, 555 4563.4765625, 553.80859375 4500, 550 4293.9453125, 544.62890625 4000, 540 3741.2109375, 535.80078125 3500, 530 3166.9921875, 527.05078125 3000, 520 2614.2578125, 517.83203125 2500, 517.5 2483.3984375, 515.37109375 2375, 515 2356.4453125, 512.87109375 2250, 512.5 2233.3984375, 511.58203125 2187.5, 511.5625 2186.5234375, 511.25 2172.8515625, 510.91796875 2156.25, 510.9375 2153.3203125, 510.99609375 2156.25, 511.25 2163.0859375, 511.875 2182.6171875
